module,tab,group,field,fields,description,usage,format,allowed values,examples
ecatalogue,Identification,Identification Details,Comments,- IdeComments_tab,Comments about the identification,Omit if no appropriate data is available,"Used primarily to note verbatim names when the selected Taxon does not exactly match the name in the source material.

**Deprecated uses**

This field was previously used to store long-form descriptions of specimens. Use Lot Description on the division-specific tabs instead.",,
ecatalogue,Identification,Identification Details,Identified By,- IdeIdentifiedByRef_tab,The person who identified the specimen,Omit if no appropriate data is available,Reference to Parties,,
ecatalogue,Identification,Identification Details,Date Identified,- IdeDateIdentified0,The date the identification was made,Omit if no appropriate data is available,,,
ecatalogue,Identification,Identification Details,Named Part,- IdeNamedPart_tab,The part of the specimen being identified,Required for each populated row,"Assign ""Primary"" to the primary classification (i.e., the rock name for Petrology & Volcanology and the most important mineral phase for Mineralogy). Assign ""Associated"" to additional classifications.

**Deprecated uses**

Older records use more specific terms (""Primary Rock"", ""Primary Mineral"", etc.) Most Taxonomy records now note whether a given species is a rock or mineral, so this level of specificity is no longer necessary. 

Older records used ""Primary Synonym"" to note variety or synonym names to a record. This term is still in use but should not be added to new records. Most varieties and synonyms have their own records in Taxonomy.",,
ecatalogue,Identification,Identification Details,Texture/Structure,- IdeTextureStructure_tab,An alphabetized list of textural terms that apply to the rock/mineral,Omit if no appropriate data is available,Terms should be listed in alphabetical order in lower case. Use semicolons to separate terms.,,
ecatalogue,Identification,Identification Details,Color,- MinColor_tab,The color of the rock/mineral,Omit if no appropriate data is available,,,
ecatalogue,Meteorites,Meteorite Details,Meteorite Name,- MetMeteoriteName,The official name of the meteorite,Required,"For **non-Antarctic meteorites**, the name should exactly match the Name field for the corresponding MBDB record. Most meteorites are named after the nearest named place to where they fell, so these names are usually simple strings.

For **Antarctic meteorites**, the name must be the meteorite number as currently asssigned by NASA. The NASA meteorite number consists of two components: a generic identifier identifying a mass and an optional specific identifier (often referred to as a comma number) identifying a subsample. The generic identifier includes:

- A three-character alphabetic prefix identifying the general area where the meteorite was collected
- A space
- A five- to six-digit number (YYDDD or YYDDDD, where YY is the last two digits of the collection year and DDD/DDDD is the number identifying a mass)

If a specific identfier has been assigned, append a comma followed by that identifier to the generic identifier. A representative example is ""ALH 83101,15"", where ""ALH 83101"" is the generic identifier and ""15"" is the specific identifier.

Some notes on meteorite numbers:

- Meteorites collected early on in ANSMET used a letter to separate the locality prefix from the specimen number. The letter was intended to signify different field seasons within a year. Those additional field seasons never materialized, but some meteorites from the early years of the program were originally numbered named using an ""A"" instead of a space. MBDB retains the original identifiers, but NASA's public documentation has standardized all meteorites numbers to use a space. In other words, ""ALHA76001"" in MBDB is the same as ""ALH 76001"" in NASA's documentation. We use the NASA identifiers but retain the original numbers in the Other Numbers grid.
- MBDB includes the NASA meteorite number in the Abbrev. field. MBDB uses the Name field to provide the full name of the collection area. For example, for ALH 83101, MBDB uses ""Allan Hills 83101"" for the name ""ALH 83101"" for the abbreviation.

Names are aligned with MBDB annually. Roughly 100 meteorites in the collection could not be matched to an entry in MBDB.
",,
ecatalogue,Meteorites,Meteorite Details,Synonym,- MetSynonym,The verbatim name of the meteorite if originally cataloged under a synonym,Required if meteorite was originally cataloged under a synonym,"For meteorites originally cataloged under a synonym, use this field to record the verbatim name. This field should not be used to record every synonym for a meteorite.",,
ecatalogue,Meteorites,Meteorite Details,Meteorite Type,- MetMeteoriteType,The type of meteorite,Required,"The type should exactly match the Type field for the corresponding MBDB record. MBDB uses a different format format for meteorite type than NASA.

A handful of specimens collected during ANSMET were determined to be terrestrial in origin. These specimens are assigned the type ""Terrestrial rock"".

Meteorite types  are aligned with MBDB annually.",,
ecatalogue,Meteorites,Meteorite Details,Record Number,- MetRecordNumber,No idea,Legacy,,,
ecatalogue,Meteorites,Meteorite Details,Find/Fall,- MetFindFall,Whether the meteorite fall was observed,Required,"Usually ""Find"" or ""Fall"", but more recent meteorites sometimes included more specific information.

Historically, meteorites are categorized as ""falls"" if they are witnessed falling and ""finds"" otherwise. These categories elide much of the uncertainy in assigning fall status. In Agee et al. (2015), the Meteorite Nomenclature Committee revised fall categorization for recent meteorite discoveries to better capture that uncertainty. The terms they settled on are included in the Allowed Values list. We plan implement that vocabulary but, as of 2022, none of the meteorites in the collection has been assigned to one of the new categories.

Fall status is aligned with MBDB annually.","- Fall
- Fall, confirmed
- Fall, probable
- Find
- Find, possible fall
- Find, doubtful fall
",
ecatalogue,Meteorites,Collection Details,Locality,- BioEventSiteRef,The collection locality and event,Required,Reference to Collection Events,,
ecatalogue,Meteorites,Lot Description,Lot Description,- BioLiveSpecimen,A long-form description of the specimen ,Omit if no appropriate data is available,,,
ecatalogue,Meteorites,Condition Determination,Condition Determination,- MetConditionDetermination,A description of the condition of the specimen,Omit if no appropriate data is available,,,
ecollectionevents,Locality (1),Site Details,Record Classification,- LocRecordClassification,,Under evaluation,,,
ecollectionevents,Locality (1),Site Details,Field/Sample Numbers,- ColSiteVisitNumbers_tab,,Under evaluation,,,
ecollectionevents,Locality (1),Site Details,Site/Station Number,- LocSiteStationNumber,,Under evaluation,"Marine collection events, like dredges or dives, are usually assigned an identifier. Historically we've captured this information very generally (for example, ""Dredge 1"" or ""Station 1""). This is not very useful for discriminating between records. Instead, the recommended practice is to use the exact identifier assigned during the cruise. This is often the cruise number followed by the dredge or station number, and samples collected during an event often include the site/station number at the beginning of their field number.
",,
ecollectionevents,Locality (1),Site Details,Site Number Source,- LocSiteNumberSource,,Under evaluation,"The name of the authority that provided the station number. For cruises, this may be an oceanographic institute, like WHOI or Scripps.
",,
ecollectionevents,Locality (1),Site Details,Site Name,- LocSiteName_tab,,Under evaluation,,,
ecollectionevents,Locality (1),Ocean,Ocean,- LocOcean,The name of an ocean,"Required for marine localities and ocean islands. Omit for large islands.
","Ocean and sea boundaries are determined by the International Hydrographic Organization (IHO). Names can be resolved using coordinates, for example, using the `GeoNames ocean webservice <https://www.geonames.org/export/web-services.html#ocean>`_ or shapefiles provided by the `Marine Regions <https://www.marineregions.org/>`_ website run by the Flanders Marine Institute.

The boundaries of the Arctic and Southern Oceans seem to vary seasonally. The Southern Ocean is not part of the official IHO ocean list but has been added to the IHO shapefile on the Marine Regions website.

The generic Atlantic and Pacific Ocean names should be avoided when possible. Map them to either North or South if coordinates or other locality info allows. The north/south divisions generally follow the equator, with the exception of the Galapagos and Gilbert Islands, which cross the equator but are assigned to the South Pacific Ocean. Other features that cross the equator but are not addressed by IHO include:

- **Halmahera** is assigned to the North Pacific Ocean because it is mostly north of the equator.
- **Sulawesi** is assigned to the South Pacific Ocean because it is mostly south of the equator.
- **Galapagos Rise** and **Galapagos Spreading Center** are assigned to the South Pacific Ocean by analogy to the Galapagos Islands.
Large islands at the border between oceans cannot always be assigned to a specific ocean. For example, Sumatra sits at the border of the Indian and Pacific Oceans *and* straddles the equator.
","- Arctic Ocean
- Indian Ocean
- North Atlantic Ocean
- North Pacific Ocean
- South Atlantic Ocean
- South Pacific Ocean
- Southern Ocean",
ecollectionevents,Locality (1),Ocean,Sea/Gulf,- LocSeaGulf,"The name of one of the primary divisions of the oceans, like a sea, marginal sea, or gulf","Recommended for marine localities and ocean islands. Omit if locality does not appear in a named sea or if the sea name cannot be determined.
","As with :ref:`Ocean` above, sea and gulf boundaries are determined by the IHO. Names in this field should exactly match an IHO name. See that entry for sources for more information about assigning ocean and sea names.
",,"- Carribean Sea
- Gulf of Mexico"
ecollectionevents,Locality (1),Ocean,Bay/Sound,- LocBaySound,The name of any coastal body of water smaller than a sea or gulf,Omit if no appropriate data is available,,,
ecollectionevents,Locality (1),Continent (Political),Continent,- LocContinent,The name of a continent,"Required for records representing terrestrial specimens. Recommended for marine localities on the continental shelf.
","Use the `GeoNames country code list <https://www.geonames.org/countries/>`_ to map countries to continents. Mapping this way introduces some incongruities (for example, Hawaii maps to North America) but it beats making a series of individual decisions.
","- Africa
- Antarctica
- Asia
- Europe
- North America
- Oceania
- South America",
ecollectionevents,Locality (1),Continent (Political),Country,- LocCountry,"The name of a country. Includes both independent entities and dependent but self-governed entities.
",Required for all terrestrial records,"Country names should use the English short name from the `ISO 3166 list of country codes <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>`_. The ISO list includes both sovereign states and entities, like Greenland, that are affiliated with another country but are largely self-governed. Puerto Rico falls into the latter category and should be given as a country (not a territory of the United States) in EMu.

For a discussion of updating names as administrative boundaries change over time, see TKTK.

**Known issues**

The formal ISO names have not been fully adopted in EMu. For example, North Korea and South Korea are still in use despite not being the preferred form in the ISO list.",,
ecollectionevents,Locality (1),Continent (Political),Province/State/Terrirtory,- LocProvinceStateTerritory,"The primary administrative division in a country, like a state in the United States or a province in Canada
",Omit if no appropriate data is available,"Entities in this field must be first-order administrative divisions. The names of administrative divisions vary from country to country, sometimes in ways that may confuse data entry. For example, the state-level entities in the Bahamas are called districts and the county-level entities in the Phillipines are called provinces. GeoNames is a useful resource for figuring out what consistutes a first-order admin division.
See :ref:`filling-in-gaps-in-the-administrative-hierarchy` for guidance on backfilling administrative divisions from more specific locality information.
",,
ecollectionevents,Locality (1),Continent (Political),District/County/Shire,- LocDistrictCountyShire,"The secondary administrative division in a country, like a county in the United States
",Omit if no appropriate data is available,"Additional administrative divisions can be included in :ref:`Precise Locality`.
See :ref:`filling-in-gaps-in-the-administrative-hierarchy` for guidance on backfilling administrative divisions from more specific locality information.
",,
ecollectionevents,Locality (1),Continent (Political),City/Town,- LocTownship,"The name of a populated place, like a city, town, or township",Omit if no appropriate data is available,"The name should be given in full, without abbreviations, unless the original documenation includes abbreviations of uncertain meaning.

If both town and township are known, include the town, then a semicolon, then the township.

Modifiers (in parentheses) may follow the city/town/township designation.
",,
ecollectionevents,Locality (1),Continent (Political),No Further Locality Data,- LocNoFurtherLocalityData,"Identifies simple locality records that do not include information on any tab except Locality (1) *except* georeferenced coordinates. This is to allow simple localities to be georeferenced while still making use of this field.
",Leave unchecked if locality info appears on any other tab,,,
ecollectionevents,Locality (1),Continent (Political),Precise Locality,- LocPreciseLocation,A brief description of the exact sampling location,Omit if no appropriate data is available,"The precise locality is usually entered as one or more sentence fragments. Full sentences are acceptable here, especially if quoting from original documentation, but try to be brief. When using fragments, separate each fragment with a semicolon, not a period, so the different parts can be parsed if needed.
",,
ecollectionevents,Locality (2),Island Details,Archipelago,- LocArchipelago,,Not used. See Island Grouping instead.,,,
ecollectionevents,Locality (2),Island Details,Island Grouping,- LocIslandGrouping,A group of islands,Omit if no appropriate data is available,"Entries must be written out in full.
A single island may belong to more than one island group. For example, Dominica is part of the Windward Islands, the Lesser Antilles, and the West Indies. You may include up to two groups using the following format: ""Smaller Group (Larger Group).""

There are two island groups commonly referred to as the Windward Islands and the Leeward Islands. One is in the Caribbean and is part of the Lesser Antilles. The other is in the Pacific and is part of the Society Islands. Always specify the larger group when referring to either of these groups.

Admin divisions may correspond to island groupings (for example, Hawaii). Include the island grouping even if it is its own admin division.
",,"- Galapagos Islands
- Windward Islands (Lesser Antilles)
- Windward Islands (Society Islands)"
ecollectionevents,Locality (2),Island Details,Island Name,- LocIslandName,The name of an island,Omit if locality is not on an island,"Entries must be written out in full.
Include the word ""island"" only if it is typically used when referring to a given island. For example, enter ""Fernandina,"" not ""Fernandina Island.""

Admin divisions may correspond to a single island (for example, Puerto Rico). Include the island name even if it is its own admin division.
",,"- Fernandina
- Tahiti"
ecollectionevents,Locality (2),Mine Details,Mining District,- LocMiningDistrict,"The name of an area containing a group of mines. The mines in a single district are usually tapping the same geologic feature and extracting related ores.
",Omit if no appropriate data is available,,,
ecollectionevents,Locality (2),Mine Details,Mine Name,- LocMineName,The name of a mine or quarry,Omit if no appropriate data is available,,,
ecollectionevents,Locality (2),Geomorphological Location,Geomorphological Location,- LocGeomorphologicalLocation,"The name of one or more geomorphological features
",Omit if no appropriate data is available,A semicolon-delimited list of feature names,,"- Rocky Mountains
- Lake Huron
- Half-Mile Beach"
ecollectionevents,Locality (2),Geologic Setting,Geologic Setting,- LocGeologicSetting,"The name of a geologic feature, including petrologic province, complex, zone within a complex, or genetic association from which a specimen was collected. ",Omit if no appropriate data is available,"Names of geologic settings must be writtern out in full.

- **Geologic features**, like kimberlite pipes and plutons, should be recorded in Geologic Setting
- **Stratigraphic units**, like groups, formations, and members, should be recorded in Catalog > Stratigraphy
- **Topographic features**, like ridges and cordilleras, should be recorded in Geomorphological Location
- **Volcanic features**, like volcanoes, volcanic fields, and calderas, should be recorded in the Volcano (1) > Volcano Details fields",,
ecollectionevents,Locality (2),Collection Event Details,Collection Event Parent,- LocSiteParentRef,,Not used,,,
ecollectionevents,Locality (2),Collection Event Details,Collection Event Owner,- LocSiteOwnerRef_tab,,Not used,,,
ecollectionevents,Locality (2),Collection Event Details,Land Owner/Jurisdiction,- LocJurisdiction,,Not used,,,
ecollectionevents,Volcano (1),Volcano Details,Volcano Number,- VolVolcanoNumber,A numeric identifier assigned to volcanoes active in the Holocene or Pleistocene in the GVP database,"Required if volcano name is populated. For volcanoes older than the Pleistocene, use ""--"".",A six-digit number corresponding to a volcano in the GVP database. Names and numbers are checked for consistency annually by the data manager.,,
ecollectionevents,Volcano (1),Volcano Details,Volcano Name,- VolVolcanoName,The name of a volcano from the GVP database that produced the sampled material ,Required if volcano number is populated.,"Name should exactly match the format used on the GVP website. If the collection materials use a synonym, record the preferred name instead.

The Holocene and Pleistocene volcano lists provded by GVP use an inverted format that omits diacritics that appear on the website. For example, ""Île de la Possession"" is rendered as ""Possession, Ile de la"". Use ""Île de la Possession"". Refer to the GVP website to verify diacritics.

GVP omits ""Mount""/""Mt"" from volcano names, so use ""Rainier"" (not ""Mt. Rainier"") and ""St. Helens"" (not ""Mt. St. Helens""). This practice is not consistent across languages, however. For example, Japanese volcano names in GVP include *-san* and *-yama* suffixes that serve a similar purpose.

GVP includes large features, like volcanic fields and calderas, that may include named vents that are themselves referred to as volcanoes in collection materials. Parícutin, for example, is classified by GVP as a subfeature of Michoacán-Guanajuato. Subfeatures should be recorded in the Subfeature field.",,"- Arenal
- Michoacán-Guanajuato
- St. Helens"
ecollectionevents,Volcano (1),Volcano Details,Subfeature,- VolSubfeature,"The name of a cone, vent, or other volcanic feature from the GVP database that produced the sampled material",Omit if no appropriate data is available,"Name should exactly match a volcanic feature from the GVP database. Note that some subfeatures defined by GVP are well-known stratovolcanoes in their own right. For example, Sakurajima is classified as a feature of the Aira caldera.",,"- Parícutin
- Sakurajima"
ecollectionevents,Volcano (1),Volcano Details,Holocene,- VolHolocene,Whether a volcano has erupted in the Holocene,Populated from GVP at least annually by data manager for records with volcano numbers,,"- Yes
- No
- Unknown",
ecollectionevents,Volcano (1),Volcano Details,Tectonic Setting,- VolTectonicSetting_tab,"The tectonic environment in which a volcano formed, including crustal thickness, according to GVP",Populated from GVP at least annually by data manager for records with volcano numbers,"Usually includes two values, one for the setting and one for the crustal thickness.","- Oceanic crust (<15 km)
- Intermedidate crust (15-25 km)
- Continental crust (>25 km)
- Crustal thickness unknown
- Intraplate
- Rift zone
- Subduction zone
- Unknown",
ecollectionevents,Volcano (1),Eruption Details,Eruption ID,- VolEruptionID,A numeric identifier assigned to an eruption in the GVP database,Omit if no appropriate data is available,A five-digit number corresponding to an eruption in the GVP database,,
ecollectionevents,Volcano (1),Eruption Details,Eruption Date From,"- VolEruptionDateFrom
- VolEruptionDateTo",The start and end dates of the volcanic eruption as recorded by GVP,Populated from GVP at least annually by data manager for records with eruption IDs,,,
ecollectionevents,Volcano (1),Eruption Details,Eruption Notes,- VolEruptionNotes,The verbatim eruption date or date range provided by the collector,Required if the eruption ID or date fields are populated,"Use a structured note format for this field. Allowed keys include ""Verbatim Eruption Date"", ""Eruption Kind"", and ""Eruption Details"".",,
ecollectionevents,Exp/Method,Expedition Details,Expedition Name,- ExpExpeditionName,"The name of the expedition or field program during which a collecting event took place. Names are typically assigned by the sponsor of an expedition and should use their exact format when possible.

For cruises that are not part of a larger expedition, it can be useful to provide a long-form cruise identifier in this field. For example, leg 2 of cruise ABCD of the Enterprise can be entered as ""Enterprise Cruise ABCD (Leg 2)"". This allows the cataloger to include a more readable version of the cruise identifier.
",Omit if no appropriate data is available,,,"- 40th Parallel Expedition
- CERES Expedition (CERE)"
ecollectionevents,Exp/Method,Expedition Details,Vessel Name,- AquVesselName,The name of the ship from which a sample was collected.,Omit if no appropriate data is available,"If a ship-supported submersible (like Alvin) was used, include both the ship and submersible, separated by a semicolon (""Atlantis II; Alvin""). Omit the prefix ""R/V"" when entering a ship name in EMu.
",,"- Atlantis II
- James B. Gilliss
- Thomas Washington"
ecollectionevents,Exp/Method,Expedition Details,Cruise Number,- AquCruiseNumber,"The identifier assigned by the organization that operates a vessel to a research cruise, that is, a continuous, port-to-port voyage conducted to make observations or collect specimens. The terms ""cruise"" and ""leg"" are interchangeable for the purposes of this field.
",Omit if no appropriate data is available,"Typically, the identifier is either a number or an alphanumeric code. Cruise number formats vary widely between or even within organizations, with different abbreviations, delimiters, or zero-padding conventions being used in different documents. There are no hard rules for formatting a cruise number, but a good practice is to search for a vessel name to see how cruise numbers for that vessel have been recorded previously.

Cruise numbers should include the leg if known, and legs should not be recorded elsewhere (for example, in notes). Many organizations already incorporate the leg into their cruise identifiers, but if not, it is acceptable to append the leg to the cruise number. For example, leg 2 of cruise ABCD can be entered as ""ABCD-2"".
",,
ecollectionevents,Exp/Method,Expedition Details,Start/Completion Date,"- ExpStartDate
- ExpCompletionDate",The start and end dates for an expedition or cruise,Omit if no appropriate data is available,"EMu depicts dates using the following formats:

- Year, month, and day: 1 Jan 1970
- Year and month: Jan 1970
- Year: 1970

It accepts a variety of formats in addition to the display formats above, including but not limited to:
- January 1, 1970
- Jan 1, 1970
- 1970-01-01
- 1970-01
- 0101970

Use the most specific date format possible.

If only a single date is available, include that date in both the start and completion date fields. For example, if a cruise took place in Jan 1970 but the exact start and end dates are not known, enter ""Jan 1970"" in both fields. If a cruise took place in 1970 and the exact dates are not known, enter ""1970"" in both fields.
",,
ecollectionevents,Exp/Method,Expedition Details,Project Number,- ExpProjectNumber,,Not used,,,
ecollectionevents,Exp/Method,Collection Method,Collection Method,- ColCollectionMethod,The device used to collect a specimen,"Required for marine specimens and terrestrial drill cores. Omit otherwise. Specimens collected during routine field work do not need to indicate a collection method.
","The format of this field is under review. Historically, we have only captured three collection methods: core (sometimes given as drill core), dredge, and submersible. NOAA's IMLGS includes a more detailed vocabulary that may be worth a look.
",,"- Core
- Dredge
- Submersible (HOV)
- Submersible (ROV)"
ecollectionevents,Exp/Method,Total Surface Area,Area,- MetTotalSurfaceAreaValue,,Not used,,,
ecollectionevents,Exp/Method,Total Surface Area,Unit,- MetTotalSurfaceAreaUnit,,Not used,,,
ecollectionevents,Depth/Elev,Depth Details,Depth From,"- AquDepthFromMet
- AquDepthFromFt
- AquDepthFromFath
- AquDepthFromModifier",,Not used,,,
ecollectionevents,Depth/Elev,Depth Details,Depth To,"- AquDepthToMet
- AquDepthToFt
- AquDepthToFath
- AquDepthToModifier",,Not used,,,
ecollectionevents,Depth/Elev,Depth Details,Depth Determination,- AquDepthDetermination,,Not used,,,
